pid,price_inc,demand_dec,price_dec,demand_dec
P100,12.86,20.65,5.22,12.99
P101,5.79,7.4,9.08,29.38
P102,16.37,6.89,19.22,15.74
P103,8,29.8,7.03,5.87
P104,15.46,28.71,10.37,27.58
P105,17.93,24.24,14.81,7.92
P106,13.21,11.2,13.52,26.58
P107,10.72,17.08,11.72,9.62
P108,6.72,21.69,5.69,11.15
P109,11.65,20.97,17.61,28.75
P110,12.14,15.91,13.78,7.03
P111,8.02,5.9,16.95,26.84
P112,13.36,18.97,13.22,11.36
P113,19.1,24.85,7.3,23.53
P114,19.43,25.19,14.62,8.71
P115,18.06,25.97,16.27,11.41
P116,10.01,18.85,18.62,28.57
P117,10.53,6.16,15.62,24.47
P118,8.11,12.4,18.78,19.21
P119,16.32,9.79,11.18,14
P120,15.03,23.16,18.36,6.54
P121,5.07,18.32,7.98,22.88
P122,10.17,22.64,18.02,6.32
P123,19.16,7.96,13.9,9.06
P124,15.55,25.55,15.24,18.55
P125,8.35,15.95,8.29,11.24
P126,18.02,8.58,12.09,8.22
P127,7.68,22.38,10.84,24.67
P128,10.39,21.59,13.15,25.08
P129,19.79,24.55,8.38,11.2
P130,7.04,13.44,18.55,25.63
P131,9.25,18.92,9.56,15.13
P132,16.71,21.59,6.52,7.33
P133,11.7,15.89,17.16,16.78
P134,18.54,5.26,12.19,20.35
P135,6.2,29.97,15.18,12.91
P136,10.81,20.33,5.17,15.9
P137,12.44,5.84,11.03,23
P138,6.24,29.35,5.54,10.43
P139,10.28,7.68,17.12,20.8
P140,11.73,21.18,9.73,5.12
P141,16.94,11.43,19.19,18.4
P142,6.97,28.61,19.91,5.56
P143,9.19,28.71,18.45,23.59
P144,18.12,10.14,7.52,18.34
P145,10.49,12.24,19.12,27.68
P146,11.7,20.7,16.19,15.91
P147,17.67,29.94,5.05,26.91
P148,5.17,25.76,19.42,5.99
P149,9.02,29.49,11.34,19.08
P150,19.2,5.68,13.25,6.37
P151,12.92,11.49,16.2,25.95
P152,6.74,22.04,19.32,8.26
P153,17.4,18.46,12.99,9.28
P154,12.31,16.8,7.91,8.74
P155,12.5,14.79,11.3,8.71
P156,16.41,6.85,19.86,25.4
P157,15.82,6.31,15.36,25.06
P158,7.99,21.06,16.65,14.03
P159,17.12,12.95,10.02,10.87
P160,15.6,24.84,8.52,17.11
P161,8.76,12.19,17.28,27.32
P162,8.54,25.14,6.93,14.58
P163,5.88,12.04,12.75,7.51
P164,10.63,21.58,5.25,28.08
P165,15.91,28.39,14.4,8.63
P166,15.92,18.81,14.96,15.73
P167,6.93,8.01,14,11.42
P168,17.83,11.77,11.98,6.45
P169,9.22,15.93,13.53,5.24
P170,12.05,27.42,18.99,20.44
P171,18.1,10.11,17.44,14.96
P172,17.04,16.2,15.01,11.32
P173,11.3,18.61,6.71,5.95
P174,14.08,28.68,9.41,14.74
P175,17.85,24,10.99,12.46
P176,17.71,14.48,7.54,29.16
P177,6.22,17.27,8,5.98
P178,17.44,22.93,19.03,19.24
P179,18.44,9.61,6.4,28.34
P180,7.09,17.68,15.95,5.56
P181,5.83,8.7,16.66,16.42
P182,10.49,10.01,13.53,27.96
P183,12.4,20.58,8.34,11.45
P184,14.52,5.61,18.1,27.59
P185,8.39,19.62,15.53,26.82
P186,12.6,15.7,5.15,19.18
P187,14.27,14.83,18.4,26.65
P188,15.76,27.82,6.63,11.67
P189,9.98,8.38,9.58,11.89
P190,11.4,14.33,15.68,25.41
P191,8.78,26.78,17.56,20.81
P192,8.31,28.81,19.71,14.91
P193,9.76,5.07,7.88,10.35
P194,9.31,10.58,8.91,5.8
P195,11.3,18.36,11.92,18.55
P196,9.77,7.16,14.18,9.19
P197,8.9,23.64,9.42,19.89
P198,6.25,7.52,11.67,15.97
P199,7.58,8.34,7.53,10.98