CampaignID,CampaignName,StartDate,EndDate,Budget,AdType,ImpressionsTarget,RevenueTarget
1,All-Access Pass: Streaming for Every Fan,2022-12-20T09:39:25,2025-03-24T12:08:00,15735.750858559586,TV,39715,179091.31205806544
2,Game Day Vision: Motivating Sports Culture,2023-12-10T07:45:36,2024-12-11T14:03:05,475314.5018957006,Digital,341506,627296.4788054858
3,Player Profiles: Fully Customizable Experience,2023-11-14T04:52:28,2025-05-01T23:42:29,247501.21510803685,Digital,861358,982992.6220817318
4,Live Action: Discrete Game Coverage,2024-04-12T08:00:30,2024-11-29T09:42:50,492508.5563953314,TV,366305,869537.6912
5,The Replay: Rewind Your Favorite Moments,2022-12-30T14:59:06,2025-01-23T20:54:00,479040.1102808349,Digital,560385,619123.9443297032
6,Fan Network: Connecting Sports Communities,2023-12-21T09:07:33,2025-07-26T01:16:04,172880.75420374438,TV,460445,691980.6410214601
7,4th Quarter Orchestration: Bringing the Action Home,2023-03-02T08:06:06,2024-10-03T21:57:39,80037.06622236154,Digital,304029,780504.8809268365
8,Zero-Tolerance Defense: Uncompromised Streaming,2023-06-18T12:34:16,2024-08-27T23:22:19,168258.1495401204,TV,193730,908019.3604377093
9,Bandwidth Play: High-Speed Sports Streaming,2024-06-14T07:46:40,2024-12-18T10:32:37,204696.93370352863,TV,254382,303627.88954459096
10,Winning Workforce: Behind the Broadcast,2024-06-19T09:13:45,2025-05-02T11:45:32,322783.6136,TV,351315,400154.50418934575
11,"Maximized Highlights: All the Plays, All the Time",2023-10-03T02:31:00,2025-07-03T22:32:32,387733.8385318275,Digital,585644,654537.9009528127
12,Discreet Match Coverage: Tailored to You,2023-06-29T11:09:11,2025-05-06T04:58:03,165798.7016341995,TV,808169,924307.4923612088
13,5th Gen Sports: Adaptive Streaming Technology,2023-03-30T12:27:28,2025-05-31T21:16:27,350040.4520087505,Digital,459188,297643.53720008506
14,Multi-Tasking Moments: Simultaneous Game Coverage,2024-02-22T10:01:46,2024-12-12T04:41:21,306974.8518529353,TV,721636,752438.0919630196
15,Bottom-Line Victory: Streamline Your Sports,2023-03-22T06:11:30,2025-05-11T09:08:12,79655.78227413895,TV,400273,618326.3879112371
16,"Proactive Sports Support: Always On, Always There",2023-08-09T09:55:50,2024-12-21T08:11:20,274994.59687914915,Digital,211871,712030.9777086857
17,Cohesive Coverage: Unified Game Broadcasts,2023-08-26T01:29:19,2025-04-02T06:39:44,84698.01535696893,TV,282474,201277.32956781657
18,Optimal Complexity: Simplifying Sports Streaming,2023-07-07T19:03:04,2025-07-25T11:35:09,142725.59657584815,TV,96789,224297.0291574573
19,Contextual Replays: Multi-Layered Analysis,2022-11-28T11:30:57,2025-08-08T23:27:39,266940.7015536148,TV,465969,168229.12265129396
20,Team Play: Static Game Reviews,2023-05-07T06:00:05,2024-10-16T07:05:55,20632.01116019108,TV,433634,529263.8825714085
21,Stable Paradigm: Consistent Game Day Streaming,2023-10-31T03:38:33,2024-12-08T04:53:00,336894.8048824059,TV,643761,508941.4038589563
22,Networked Solutions: Non-Volatile Streaming Experience,2024-01-13T08:25:36,2025-01-06T22:24:12,327427.7746695985,TV,363771,878361.7893836075
23,Systematic Alliance: Cross-Platform Game Access,2022-12-25T16:50:46,2024-10-18T15:15:31,442511.0973,Digital,852928,825882.6045376546
24,Executive Playbook: Synchronized Game Coverage,2022-12-30T21:44:20,2025-03-13T00:20:17,314610.0402,Digital,46119,414023.8665805605
25,Even-Keeled Focus: Balanced Sports Insights,2023-04-28T14:04:28,2024-10-04T22:27:38,57371.982890967774,Digital,381182,782552.5634
26,Key Plays: Executive Game Highlights,2023-05-04T09:10:26,2024-09-03T11:17:32,492661.0835638304,Digital,302032,835072.8438724662
27,Coherent Portals: Re-Contextualized Sports Data,2023-04-22T20:40:32,2025-03-18T17:53:30,229119.65133512564,TV,155565,497830.9084136034
28,Content Expansion: Neural-Net Game Reviews,2023-07-27T23:06:25,2025-03-18T03:43:27,50811.56026044397,Digital,958093,314076.9715
29,Heuristic Play: Advanced GUI for Sports,2024-01-18T23:41:33,2024-12-06T17:57:29,320905.0830375668,Digital,38592,644858.8430852361
30,Responsive Architecture: Operative Game Streaming,2022-09-09T05:48:29,2025-08-06T19:07:56,270592.2329658074,TV,873275,474233.4512793212
31,Clear-Cut Capacity: Team-Oriented Game Broadcasting,2023-07-19T07:36:56,2024-09-11T16:23:44,199833.04755037616,Digital,686283,603936.7185631654
32,Dynamic Toolset: Enhanced Sports Engagement,2023-03-27T14:23:14,2024-09-10T10:06:55,179992.85988898776,Digital,473133,970481.4408959931
33,Secured Knowledge: Composite Sports Database,2023-04-01T13:53:55,2025-01-25T04:13:43,356436.3256903649,TV,393687,341791.89629989094
34,Disintermediate Plays: Adaptive Sports Coverage,2022-09-06T21:54:13,2024-11-12T07:50:06,292105.7477114496,TV,168331,340675.9694
35,Client-Driven Game Interface: The Adaptive GUI,2023-09-02T22:22:13,2024-11-06T02:10:57,112355.84405079571,Digital,255203,404704.0949622063
36,Global Game Day: Total Access Website,2022-09-21T10:38:34,2025-05-04T03:25:07,252581.20524489565,TV,876862,722614.8702347849
37,Team Focus: Encompassing Fan Engagement,2023-07-10T19:22:05,2025-05-23T01:42:48,221343.65861567057,TV,909246,223983.3074799672
38,High-Level Implementation: Automated Sports Coverage,2023-03-12T21:55:47,2024-12-30T19:57:38,417731.8697733494,TV,914491,940594.3889260612
39,Heuristic Orchestration: Face-to-Face Game Analysis,2023-08-05T10:15:30,2024-10-03T05:14:04,324016.4743259241,Digital,353240,297261.29226460063
40,Radical Portal: Advanced Sports Access,2024-01-28T04:13:27,2024-11-12T06:51:26,287610.38837785163,TV,868544,349880.0600293525
41,Demand-Driven Extranet: Seamless Game Coverage,2024-07-12T03:28:58,2024-09-28T22:17:24,234376.4040744553,Digital,785371,643412.8748091673
42,Maximized Benchmarks: Virtual Sports Achievements,2023-05-04T13:57:38,2025-08-01T10:25:42,30059.459912715694,Digital,625451,103187.7663540966
43,Systematic Access: Realigned Game Connectivity,2023-01-05T10:23:25,2025-08-06T19:04:47,427551.3705091492,TV,333711,57230.94534723514
44,Global Service Desk: Diverse Fan Support,2023-07-21T03:14:49,2025-01-06T11:53:02,329398.03894668864,Digital,862038,762994.7227822199
45,Uniform Help Desk: Team-Oriented Fan Assistance,2024-03-01T04:21:33,2025-01-24T15:15:57,462615.2349001456,Digital,865628,849100.9798246258
46,Zero-Tolerance Defense: Re-Engineered Streaming,2024-01-14T23:38:36,2025-02-28T02:40:57,468429.4430480581,Digital,656628,416267.78768219287
47,Well-Modulated Middleware: Diverse Sports Management,2022-10-30T08:40:02,2025-06-04T08:29:35,317310.6702463261,TV,379569,727529.7173812063
48,Holistic Circuit: Organic Fan Engagement,2022-08-18T15:24:30,2024-11-02T01:53:55,362816.5250152567,TV,782174,589553.3554102308
49,Bandwidth Management: De-Engineered Game Streaming,2022-10-24T02:45:46,2025-04-16T01:33:04,404076.6850348935,Digital,607134,860303.7529982015
50,Budget Playbook: Assimilated Sports Management,2023-08-23T20:54:18,2025-04-03T22:32:12,304564.00084863603,TV,282700,327361.98657614575